team_name,year,wins,losses,source_url
2024 Celtics,2024,64,18,https://www.nba.com/news/boston-celtics-nba-championships
2020 Lakers,2020,52,19,https://www.nba.com/lakers/history/season-by-season-records
2023 Nuggets,2023,53,29,https://www.nba.com/news/denver-nuggets-2023-nba-championship
2022 Warriors,2022,53,29,https://www.nba.com/warriors/championship/2022
2021 Bucks,2021,46,26,https://www.nba.com/standings?Season=2020-21
